,date,cases,deaths,new cases,new deaths,current active,infection rate,infection rate weekly avg,case growth
408159,2020-08-06,20197,188.0,193.0,1.0,4481.0,0.003998019280784793,0.004173148508693051,0.009648070385922816
411378,2020-08-07,20417,191.0,220.0,3.0,4439.0,0.003960546214551148,0.004115409396435088,0.010892706837649155
414598,2020-08-08,20530,190.0,113.0,-1.0,4119.0,0.0036750371384852852,0.004019305002080776,0.005534603516677279
417819,2020-08-09,20628,190.0,98.0,0.0,4053.0,0.003616150891546701,0.003929828496992278,0.004773502191914272
421040,2020-08-10,20810,197.0,182.0,7.0,3998.0,0.0035670790190978807,0.00385105858225625,0.00882295908473919
424261,2020-08-11,20985,201.0,175.0,4.0,3906.0,0.0034849951597289448,0.0037647685623917004,0.008409418548774628
427485,2020-08-12,21118,206.0,133.0,5.0,3805.0,0.003394881357595657,0.003670958437398631,0.006337860376459376
430713,2020-08-13,21290,209.0,172.0,3.0,3810.0,0.003399342436909186,0.00358543317398783,0.00814471067335922
433938,2020-08-14,21539,211.0,249.0,2.0,3679.0,0.0032824621588947228,0.0034885640231797693,0.011695631751996243
437164,2020-08-15,21707,212.0,168.0,1.0,3641.0,0.003248557956111902,0.003427638425697857,0.007799805004874878
440390,2020-08-16,21771,212.0,64.0,0.0,3628.0,0.003236959149896726,0.003373468176890718,0.0029483576726401623
443616,2020-08-17,21911,213.0,140.0,1.0,3540.0,0.0031584441539786135,0.0033150917675879655,0.006430572780304074
446843,2020-08-18,22062,217.0,151.0,4.0,3539.0,0.0031575519381159076,0.003268314164500389,0.0068915156770571855
450071,2020-08-19,22204,218.0,142.0,1.0,3433.0,0.0030629770566690906,0.0032208992643680224,0.006436406490798658
453299,2020-08-20,22403,222.0,199.0,4.0,3507.0,0.0031290010305093214,0.003182279063453756,0.008962349126283553
456527,2020-08-21,22579,223.0,176.0,1.0,3446.0,0.003074575862884266,0.003152581021166548,0.007856090702138106
459754,2020-08-22,22686,225.0,107.0,2.0,3315.0,0.0029576955848698034,0.0031110292538462482,0.004738916692501882
462983,2020-08-23,22760,225.0,74.0,0.0,3304.0,0.002947881210380039,0.0030697324053438647,0.003261923653354492
466212,2020-08-24,22958,225.0,198.0,0.0,3290.0,0.0029353901883021577,0.003037867553104371,0.008699472759226714
469441,2020-08-25,23122,227.0,164.0,2.0,3285.0,0.0029309291089886285,0.0030054928632290453,0.007143479397160032
472673,2020-08-26,23290,230.0,168.0,3.0,3243.0,0.002893456042754984,0.00298127557552703,0.007265807456102414
475906,2020-08-27,23451,230.0,161.0,0.0,3212.0,0.0028657973510111037,0.002943675049884427,0.0069128381279519105
479139,2020-08-28,23632,231.0,181.0,1.0,3175.0,0.0028327853640909883,0.002909133550056816,0.007718220971387147
482373,2020-08-29,23775,231.0,143.0,0.0,3204.0,0.002858659624109457,0.002894985555662481,0.006051117129316182
485608,2020-08-30,23862,231.0,87.0,0.0,3193.0,0.002848845249619693,0.002880837561268146,0.0036593059936908517
488841,2020-08-31,24039,232.0,177.0,1.0,3194.0,0.002849737465482399,0.0028686014580081797,0.0074176514961025895
492074,2020-09-01,24203,232.0,164.0,0.0,3187.0,0.002843491954443458,0.002856110435930298,0.006822247181663131
495308,2020-09-02,24345,235.0,142.0,3.0,3198.0,0.002853306328933222,0.0028503747625271895,0.005867041275874891
498541,2020-09-03,24495,236.0,150.0,1.0,3178.0,0.0028354620116791056,0.0028460411426226187,0.0061614294516327784
501775,2020-09-04,24706,236.0,211.0,0.0,3142.0,0.002803342240621696,0.0028418349821270057,0.008614002857726066
505009,2020-09-05,24867,236.0,161.0,0.0,3136.0,0.002797988945445461,0.0028331677423178636,0.006516635635068405
508241,2020-09-06,24934,236.0,67.0,0.0,3139.0,0.0028006655930335783,0.002826284934234133,0.0026943338561145292
511474,2020-09-07,25058,237.0,124.0,1.0,3123.0,0.0027863901392302854,0.0028172353161981167,0.004973129060720302
514707,2020-09-08,25224,239.0,166.0,2.0,3140.0,0.0028015578088962842,0.0028112447239770915,0.006624630856413121
517942,2020-09-09,25290,240.0,66.0,1.0,3064.0,0.0027337494033306416,0.002794165163176723,0.002616555661274976
521179,2020-09-10,25486,241.0,196.0,1.0,3064.0,0.0027337494033306416,0.0027796347905555134,0.0077500988533017005
524415,2020-09-11,25696,243.0,210.0,2.0,3097.0,0.002763192526799934,0.0027738991171524048,0.00823981793926077
527651,2020-09-12,25822,243.0,126.0,0.0,3118.0,0.0027819290599167563,0.0027716048477911615,0.004903486924034869
530888,2020-09-13,26014,243.0,192.0,0.0,3236.0,0.0028872105317160435,0.002783968410460085,0.007435520099140268
534123,2020-09-14,26255,244.0,241.0,1.0,3278.0,0.002924683597949688,0.002803724618848571,0.00926424233105251
537359,2020-09-15,26451,244.0,196.0,0.0,3312.0,0.002955018937281686,0.002825647637189343,0.007465244715292326
540596,2020-09-16,26723,245.0,272.0,1.0,3418.0,0.003049593818728503,0.002870768267960466,0.010283165097727875
543832,2020-09-17,27061,245.0,338.0,0.0,3595.0,0.0032075160264274337,0.0029384492141171508,0.012648280507428057
547069,2020-09-18,27454,245.0,393.0,0.0,3808.0,0.003397558005183774,0.003029072853886271,0.014522744909648572
550308,2020-09-19,27842,246.0,388.0,1.0,4052.0,0.003615258675683995,0.003148119941853019,0.014132731113863189
553547,2020-09-20,28178,246.0,336.0,0.0,4301.0,0.003837420425497745,0.0032838642123932623,0.012068098556138208
556784,2020-09-21,28453,247.0,275.0,1.0,4399.0,0.003924857580042916,0.003426746209835152,0.009759386755624955
560020,2020-09-22,28676,248.0,223.0,1.0,4457.0,0.003976606100079853,0.003572687233092033,0.00783748638104945
563259,2020-09-23,28996,249.0,320.0,1.0,4637.0,0.004137204955366901,0.003728060252611804,0.011159157483609988
566500,2020-09-24,29392,249.0,396.0,0.0,4884.0,0.00435758227345524,0.0038923554307586333,0.013657056145675266
569741,2020-09-25,29977,250.0,585.0,1.0,5257.0,0.004690378790244512,0.004077044114338738,0.019903375068045726
572983,2020-09-26,30357,250.0,380.0,0.0,5476.0,0.004885774064177087,0.0042585463126948945,0.012676385228675318
576227,2020-09-27,30784,252.0,427.0,2.0,5834.0,0.005205187343025772,0.004453941586627469,0.014065948545640215
579468,2020-09-28,31079,252.0,295.0,0.0,6006.0,0.005358648471411173,0.004658768856822934,0.009582900207900208
582707,2020-09-29,31345,254.0,266.0,2.0,6106.0,0.005447870057681756,0.004868949422194635,0.008558833939315938
585947,2020-09-30,31700,254.0,355.0,0.0,6396.0,0.005706612657866444,0.005093150522551712,0.011325570266390174
589188,2020-10-01,32019,254.0,319.0,0.0,6520.0,0.0058172474248419665,0.005301674115606959,0.010063091482649842
592428,2020-10-02,32476,259.0,457.0,5.0,6764.0,0.006034948095342187,0.0054937554449066275,0.014272775539523408
595670,2020-10-03,32947,259.0,471.0,0.0,7109.0,0.006342762567975696,0.005701896659735,0.014503017613006527
598913,2020-10-04,33599,259.0,652.0,0.0,7569.0,0.006753181864820375,0.005923038734277085,0.01978935866694995
602156,2020-10-05,34071,260.0,472.0,1.0,7800.0,0.006959283729105419,0.006151700913947691,0.014048037143962617
605398,2020-10-06,34396,265.0,325.0,5.0,7924.0,0.007069918496080942,0.006383422119433289,0.00953890405330046
608641,2020-10-07,34884,269.0,488.0,4.0,8137.0,0.0072599604748372825,0.006605328950429124,0.014187696243749274
611883,2020-10-08,35436,272.0,552.0,3.0,8348.0,0.007448218021868211,0.0068383247500043015,0.01582387340901273
615124,2020-10-09,35952,275.0,516.0,3.0,8468.0,0.007555283925392909,0.00705551558286869,0.014561462919065358
618366,2020-10-10,36554,277.0,602.0,2.0,8681.0,0.00774532590414925,0.0072558817737506266,0.01674454828660436
621609,2020-10-11,37088,280.0,534.0,3.0,8876.0,0.007919307997376885,0.0074224712212587,0.014608524374897411
624852,2020-10-12,37479,281.0,391.0,1.0,8992.0,0.00802280503745076,0.007574402836736605,0.010542493528904228
628095,2020-10-13,37821,281.0,342.0,0.0,9112.0,0.00812987094097546,0.00772582461457868,0.009125110061634516
631339,2020-10-14,38369,283.0,548.0,2.0,9339.0,0.008332403941809681,0.007879030824146165,0.014489304883530315
634584,2020-10-15,38949,285.0,580.0,2.0,9521.0,0.008494787228822142,0.008028540710853871,0.015116369986186765
637829,2020-10-16,39645,286.0,696.0,1.0,9632.0,0.008593823189582487,0.008176903462880953,0.0178695216821998
641076,2020-10-17,40227,287.0,582.0,1.0,9833.0,0.008773158577986358,0.00832373670200054,0.014680287552024215
644324,2020-10-18,40713,289.0,486.0,2.0,9892.0,0.008825799313886001,0.008453235461501842,0.012081437840256544
647570,2020-10-19,41213,290.0,500.0,1.0,10096.0,0.009007811349877989,0.008593950648991445,0.012281089578267384
650814,2020-10-20,41665,292.0,452.0,2.0,10282.0,0.009173763500341273,0.008743078157472274,0.010967413194865697
654059,2020-10-21,42276,295.0,611.0,3.0,10535.0,0.009399494113605847,0.008895519610586012,0.014664586583463339
657304,2020-10-22,42902,297.0,626.0,2.0,10840.0,0.009671619951731122,0.00906363857100158,0.014807455766865362
660548,2020-10-23,43647,298.0,745.0,1.0,11132.0,0.009932146983641222,0.009254827684438542,0.017365157801501097
663793,2020-10-24,44305,299.0,658.0,1.0,11318.0,0.010098099134104505,0.009444104906741135,0.015075492015487892
667039,2020-10-25,45042,299.0,737.0,0.0,11403.0,0.0101739374824345,0.009636696073676636,0.016634691344092088
670282,2020-10-26,45508,299.0,466.0,0.0,11398.0,0.01016947640312097,0.009802648224139917,0.010345899382798278
673524,2020-10-27,45969,299.0,461.0,0.0,11539.0,0.010295278839762492,0.009962864701200091,0.010130087017667223
676768,2020-10-28,46672,304.0,703.0,5.0,11753.0,0.010486213034381539,0.010118110261310905,0.015292914790402228
680011,2020-10-29,47429,308.0,757.0,4.0,11957.0,0.010668225070373526,0.010260482421116964,0.01621957490572506
683255,2020-10-30,48330,309.0,901.0,1.0,12344.0,0.01101351260924068,0.010414963224774029,0.01899681629382867
686499,2020-10-31,49087,309.0,757.0,0.0,12501.0,0.011153590499685494,0.010565747705571312,0.015663149182702254
689744,2020-11-01,49887,314.0,800.0,5.0,12765.0,0.011389135487439831,0.010739347420572073,0.01629759406767576
692988,2020-11-02,50461,314.0,574.0,0.0,12949.0,0.011553303206177703,0.01093703696386589,0.011506003568063824
696231,2020-11-03,51124,317.0,663.0,3.0,13267.0,0.011837027850518154,0.011157286822545272,0.013138859713442063
699476,2020-11-04,51985,318.0,861.0,1.0,13581.0,0.012117183631407782,0.01139028262212045,0.01684140521085987
702720,2020-11-05,53149,321.0,1164.0,3.0,14164.0,0.012637345479365278,0.0116715855376907,0.022391074348369722
705963,2020-11-06,54332,326.0,1183.0,5.0,14647.0,0.01306828574105219,0.011965124556520917,0.022258179834051442
709207,2020-11-07,55566,330.0,1234.0,4.0,15296.0,0.01364733383594827,0.012321373604558455,0.022712213796657586
712451,2020-11-08,56567,330.0,1001.0,0.0,15813.0,0.01410860943696718,0.012709869883062361,0.018014613252708492
715695,2020-11-09,57531,331.0,964.0,1.0,16277.0,0.014522597597262682,0.013134054796074502,0.017041738115862605
718939,2020-11-10,58495,334.0,964.0,3.0,16788.0,0.014978519903105357,0.013582839375015532,0.01675618362274252
722183,2020-11-11,59493,339.0,998.0,5.0,17173.0,0.015322023010247099,0.014040673571992578,0.017061287289511923
725427,2020-11-12,60859,342.0,1366.0,3.0,17912.0,0.015981370532786702,0.014518391436767067,0.02296068445027146
728671,2020-11-13,61673,348.0,814.0,6.0,17976.0,0.016038472347999874,0.014942703809188164,0.013375178691730065
731916,2020-11-14,63768,350.0,2095.0,2.0,19412.0,0.017319694326845436,0.015467326736459189,0.03396948421513466
735162,2020-11-15,64794,351.0,1026.0,1.0,19700.0,0.017576652495304716,0.01596276145907884,0.01608957470831765
738407,2020-11-16,65681,353.0,887.0,2.0,20119.0,0.017950490941778453,0.016452460508295377,0.013689539154860018
741654,2020-11-17,66727,356.0,1046.0,3.0,20701.0,0.018469760573873242,0.01695120917554793,0.01592545789497724
744901,2020-11-18,67942,360.0,1215.0,4.0,21214.0,0.01892746731144133,0.0174662726471471,0.018208521288234147
748148,2020-11-19,69503,364.0,1561.0,4.0,22018.0,0.01964480886505681,0.01798962098032855,0.022975479085102
751395,2020-11-20,71088,371.0,1585.0,7.0,22696.0,0.02024973121997136,0.01859122939061019,0.0228047710170784
754642,2020-11-21,72206,378.0,1118.0,7.0,23050.0,0.02056557563536922,0.019054926720399303,0.015726986270537924
757889,2020-11-22,73469,380.0,1263.0,2.0,23516.0,0.020981348227390135,0.01954131182498294,0.01749162119491455
761135,2020-11-23,74269,382.0,800.0,2.0,23740.0,0.02118120458063624,0.020002842344819766,0.010888946358328003
764381,2020-11-24,75458,383.0,1189.0,1.0,24268.0,0.021652294556144914,0.020457490056572863,0.016009371339320577
767627,2020-11-25,76220,390.0,762.0,7.0,24163.0,0.021558611890560804,0.020833367853589933,0.010098332847411805
770874,2020-11-26,76220,390.0,0.0,0.0,23002.0,0.02052274927395934,0.02095878791200458,0.0
774119,2020-11-27,78530,394.0,2310.0,4.0,24130.0,0.02152916876709151,0.021141564704450312,0.030307006035161375
777365,2020-11-28,79227,401.0,697.0,7.0,23590.0,0.021047372201230367,0.021210392785287618,0.008875588946899274
780611,2020-11-29,79836,402.0,609.0,1.0,23197.0,0.020696731367186978,0.021169733233830024,0.007686773448445605
783856,2020-11-30,80533,402.0,697.0,0.0,22931.0,0.020459401947707227,0.021066618571983022,0.008730397314494714
787100,2020-12-01,81337,407.0,804.0,5.0,22769.0,0.020314862977948885,0.020875556917955014,0.009983485030981088
790346,2020-12-02,82813,411.0,1476.0,4.0,23248.0,0.020742234376184974,0.020758931558758468,0.01814672289364004
793592,2020-12-03,84141,416.0,1328.0,5.0,23208.0,0.02070654574167674,0.020785188197003812,0.016036129593179814
796837,2020-12-04,85082,422.0,941.0,6.0,23335.0,0.020819857156240382,0.02068385796688222,0.011183608466740352
800083,2020-12-05,86339,428.0,1257.0,6.0,22493.0,0.020068611399842076,0.02054403499525532,0.014773982746056746
803329,2020-12-06,87328,428.0,989.0,0.0,22457.0,0.020036491628784667,0.02044971503262642,0.011454846593080763
806574,2020-12-07,88184,431.0,856.0,3.0,22425.0,0.02000794072117808,0.020385220571693684,0.009802125320630267
809819,2020-12-08,88921,442.0,737.0,11.0,22108.0,0.019725108292700334,0.020300969902372464,0.008357525174634855
813063,2020-12-09,89832,448.0,911.0,6.0,21802.0,0.019452090238712354,0.020116663597019236,0.0102450489760574
816309,2020-12-10,91056,460.0,1224.0,12.0,21457.0,0.019144275766078845,0.019893482171933822,0.013625434143734972
819555,2020-12-11,91795,465.0,739.0,5.0,20613.0,0.018391245577955132,0.019546537660750214,0.008115884730275875
822801,2020-12-12,93065,467.0,1270.0,2.0,20770.0,0.018531323468399946,0.019326925099115624,0.013835176207854459
826048,2020-12-13,93761,473.0,696.0,6.0,20199.0,0.01802186821079492,0.019039121753688517,0.007478643958523612
829294,2020-12-14,94415,474.0,654.0,1.0,20054.0,0.017892496910702577,0.018736915495049158,0.006975181578694766
832541,2020-12-15,94942,477.0,527.0,3.0,19390.0,0.017300065577865908,0.01839048082150138,0.0055817401895885185
835787,2020-12-16,95917,488.0,975.0,11.0,19599.0,0.017486538693171426,0.018109687743566964,0.010269427650565608
839033,2020-12-17,96864,497.0,947.0,9.0,20537.0,0.01832343717238949,0.017992425087325625,0.009873119467873266
842278,2020-12-18,97748,502.0,884.0,5.0,19110.0,0.01705024513630828,0.017800853595661793,0.009126197555335315
845524,2020-12-19,98563,507.0,815.0,5.0,19230.0,0.01715731103983298,0.01760456610586651,0.008337766501616401
848769,2020-12-20,99234,509.0,671.0,2.0,19291.0,0.01721173620745803,0.017488832962532667,0.006807828495480049
852014,2020-12-21,99874,512.0,640.0,3.0,19231.0,0.017158203255695684,0.017383933868960255,0.006449402422556785
855259,2020-12-22,100482,516.0,608.0,4.0,19036.0,0.016984221162468047,0.017338813238189133,0.00608767046478563
858504,2020-12-23,101258,527.0,776.0,11.0,18329.0,0.01635342454753503,0.017176939788812507,0.007722776218626222
861749,2020-12-24,102160,532.0,902.0,5.0,17903.0,0.01597334059002235,0.0168412117056172,0.008907938138221178
864994,2020-12-25,102160,532.0,0.0,0.0,16968.0,0.015139118758392406,0.016568193651629218,0.0
868239,2020-12-26,103313,533.0,1153.0,1.0,16869.0,0.015050789387984528,0.01626726198707944,0.011286217697729053
871484,2020-12-27,103615,535.0,302.0,2.0,16180.0,0.014436052658580218,0.015870735765811182,0.00292315584679566
874729,2020-12-28,104167,536.0,552.0,1.0,15878.0,0.014166603468043059,0.015443364367575091,0.005327413984461709
